1	 Olived Oiled 	1984-01-13 04:51:51.7347158	1	1	1956-01-06 17:04:29.0977978	1
2	 Dinner portion 	1958-10-18 01:30:15.6128327	1	1	2015-10-16 05:36:00.8236272	2
3	 Muy Caliente 	1970-11-06 01:24:10.6255143	0	1	1977-02-15 03:49:33.6052011	266
4	 alcohol mixed 	1985-12-28 23:30:05.3342154	1	0	1962-09-15 02:45:20.8498345	6
5	 artificial coloring 	1997-01-15 16:33:48.8452560	1	1	1955-03-31 05:58:27.3628943	904
6	 Super Hot	1970-12-20 21:34:39.1075681	1	1	2011-03-23 07:50:31.5848036	836
7	 Dinner portion 	1971-04-20 09:00:38.2332819	1	1	1993-08-01 15:41:42.6902134	7
8	 Heavy 	1968-10-23 11:36:28.8396592	1	1	2001-07-06 11:41:16.2501302	965
9	 Muy Caliente 	1999-02-11 15:37:24.6263948	0	0	1958-05-25 23:30:48.1318912	9
10	 Super Hot	2006-02-08 21:00:19.7886224	1	1	2012-12-26 15:49:28.1388256	888
11	 alcohol mixed 	1957-01-02 17:50:43.4503228	1	1	1970-08-13 13:32:37.6209742	784
12	 Dinner portion 	1994-07-15 07:48:09.1059948	1	1	2016-09-08 16:08:54.0287404	768
13	 Olived Oiled 	1992-04-12 07:38:45.2467314	1	0	1996-04-25 21:48:44.7868680	13
14	 Olived Oiled 	1981-07-26 15:49:40.0461036	0	1	1953-02-16 05:02:30.8615652	82
15	 Dinner portion 	1988-09-19 05:41:52.4850876	1	0	1995-03-10 03:23:34.4081054	15
16	 Heavy 	1975-12-17 17:27:57.3620571	0	1	1967-10-10 14:40:57.4963845	37
17	 Dinner portion 	1971-06-06 06:58:02.4419556	1	1	1988-05-01 12:07:34.0725524	556
18	 Heavy 	1970-06-22 06:42:51.1690866	0	1	1961-05-29 08:55:42.1322123	18
19	 Super Hot	1984-11-07 13:53:34.3419394	1	1	1990-02-10 03:23:51.6410836	639
20	 Heavy 	1957-08-16 11:54:31.4907577	1	0	1968-02-02 12:30:13.5090740	920
21	 Super Hot	1989-02-19 11:05:14.7281982	1	0	2014-12-12 05:28:23.6290840	404
22	 Olived Oiled 	1961-11-13 18:23:38.9858968	1	1	2009-07-10 16:03:30.6380180	859
23	 Heavy 	2006-01-10 12:21:19.3894602	0	1	1974-02-08 21:55:07.1722413	23
24	 artificial coloring 	1990-02-01 05:03:20.0218700	0	1	1993-03-13 06:03:57.5103292	24
25	 Heavy 	2002-02-16 20:56:33.5845786	0	0	1956-06-02 02:00:54.5621026	640
26	has preservative 	2002-09-20 09:39:12.6785044	1	1	1998-02-27 07:22:28.4282914	503
27	 Olived Oiled 	2007-12-01 11:20:11.2165968	1	1	1980-09-04 05:12:49.3604437	647
28	 artificial coloring 	2001-11-25 17:15:18.6815210	1	0	1992-10-05 01:04:37.8767752	982
29	 Muy Caliente 	2007-02-20 00:56:23.8190646	1	1	1996-01-16 12:32:31.9333886	707
30	 Super Hot	1965-10-17 22:52:01.5564991	1	0	1992-09-25 19:11:32.1577610	734
31	 Dinner portion 	1967-11-12 09:08:03.6749617	1	0	1974-10-29 10:24:43.2531939	297
32	 Muy Caliente 	2005-05-15 23:07:51.3346512	1	1	1991-10-15 21:18:08.3965060	753
33	 Olived Oiled 	1972-06-27 05:38:10.4208725	1	1	1985-11-06 17:22:24.0927722	595
34	 Super Hot	1980-01-07 03:19:05.3207295	1	1	1984-11-19 19:46:14.7589786	915
35	 Super Hot	2005-08-07 00:07:35.4809736	1	1	2008-09-04 04:20:45.1598866	231
36	 Dinner portion 	2009-08-20 02:44:19.4578120	0	0	1953-04-21 19:35:35.2090374	767
37	 Heavy 	1986-12-20 11:29:51.7929694	1	1	1953-08-17 09:03:18.4083536	879
38	 Olived Oiled 	1990-09-15 06:10:28.5966008	1	0	1993-08-02 13:17:38.0491886	182
39	 Super Hot	1990-08-21 18:44:59.9587120	1	0	1959-02-26 14:10:13.5153575	875
40	 Olived Oiled 	1987-09-13 01:17:41.3750406	1	1	1968-06-29 23:29:42.8535086	127
41	 artificial coloring 	1953-05-15 23:19:15.9895980	1	1	1972-12-29 16:42:11.2779766	284
42	 Olived Oiled 	1966-03-30 04:03:46.0764979	1	1	1955-06-17 22:29:24.5533983	630
43	 Heavy 	1971-09-18 17:03:24.7457832	0	1	1953-05-09 19:15:38.6793772	213
44	 Super Hot	1987-12-02 06:40:59.5731922	1	1	2009-11-24 22:11:45.0683782	676
45	 Muy Caliente 	1958-02-05 03:18:44.9804254	1	1	1995-10-05 22:46:26.9639466	345
46	 Olived Oiled 	2002-02-08 11:29:12.9546766	1	1	1978-12-03 05:45:51.5134431	691
47	 Dinner portion 	1960-03-04 16:55:54.0725485	1	1	1961-07-06 09:19:26.3256146	883
48	 Dinner portion 	2006-04-29 03:52:35.3062072	0	0	2009-05-14 14:38:03.3912336	234
49	 Muy Caliente 	1995-01-11 01:23:31.5513752	1	0	2014-01-02 03:12:22.4579780	298
50	has preservative 	1967-01-23 04:10:04.0867994	1	1	1992-09-25 04:39:23.9743376	646
51	 alcohol mixed 	1977-11-07 13:43:05.6726072	1	1	2000-06-02 03:34:43.8954822	984
52	 alcohol mixed 	2002-02-04 19:28:57.9971502	1	1	1960-02-23 15:45:56.4649384	420
53	 Olived Oiled 	1996-06-12 22:37:58.6564238	1	1	2008-02-14 05:01:34.0177778	887
54	 Muy Caliente 	2006-07-02 19:34:50.9321906	1	1	1981-04-29 15:05:53.7043228	136
55	 Heavy 	2009-10-08 18:54:53.4277524	1	1	1983-12-01 11:34:06.6424824	235
56	has preservative 	1975-03-02 10:28:12.7488190	1	0	1964-03-29 01:00:58.4597798	868
57	 artificial coloring 	1970-07-08 13:08:56.2233725	1	1	1994-09-07 07:40:53.6513860	944
58	 alcohol mixed 	1998-07-05 20:20:50.6036444	1	1	2001-09-04 21:45:36.0948720	821
59	 Heavy 	2001-08-12 02:33:31.7496370	0	0	1959-04-16 00:44:26.2877318	373
60	has preservative 	2012-01-27 06:54:36.1667516	1	1	1974-11-01 22:35:58.9346028	347
61	 Super Hot	1980-10-20 10:14:27.8909712	1	1	1983-07-20 02:37:42.2243598	993
62	 Heavy 	1987-02-23 15:45:19.5517610	1	1	1953-10-28 14:37:04.8134381	50
63	 artificial coloring 	1979-06-04 10:40:05.0205946	1	0	1958-06-21 23:08:44.3167416	529
64	 artificial coloring 	1986-04-27 16:45:23.0698956	0	1	1983-05-31 04:19:15.9741300	108
65	 Muy Caliente 	1991-03-31 11:52:16.1136604	1	1	1991-03-01 05:24:44.8856316	271
66	 Dinner portion 	1969-05-20 18:42:52.1156718	1	1	1996-07-29 16:14:29.2244684	756
67	 Olived Oiled 	1975-01-19 02:09:58.6851222	1	1	1983-11-03 22:46:29.9359682	493
68	 Muy Caliente 	1965-04-07 04:19:39.9260018	0	1	1964-06-07 02:02:30.0278894	735
69	 Super Hot	1993-09-19 15:42:04.5651300	1	0	1962-03-15 00:41:45.7016786	146
70	has preservative 	1996-10-31 02:57:33.0272756	1	0	1994-11-19 07:47:59.1990678	537
71	has preservative 	2006-09-28 05:58:05.5690878	1	1	1967-02-24 05:37:39.0880309	71
72	 Olived Oiled 	1998-06-22 00:47:33.8453548	1	1	2012-06-29 22:49:56.0233640	725
73	 artificial coloring 	1997-08-01 11:57:51.2103746	1	1	1955-04-03 18:45:28.6168547	726
74	 Super Hot	2014-11-26 12:35:52.9668988	1	0	1974-08-14 03:54:08.7875751	543
75	 Super Hot	1957-04-03 12:35:15.5011596	1	1	2012-11-03 19:48:02.2310972	990
76	 Super Hot	1975-11-24 07:01:28.6517002	1	1	2012-06-27 06:58:59.0756856	641
77	 artificial coloring 	2007-11-27 01:20:14.2401136	1	1	2009-03-03 20:47:51.9586408	687
78	 artificial coloring 	1971-02-10 05:40:19.8162681	1	1	1981-12-15 23:43:22.1038632	492
79	 Heavy 	1984-12-28 01:44:35.0414446	1	1	2015-03-09 07:17:30.5463828	718
80	 Dinner portion 	1953-01-09 09:27:20.6299019	1	1	1995-03-31 20:15:03.0486594	722
81	 alcohol mixed 	1995-07-19 16:43:18.6059558	0	1	1989-08-24 22:03:02.1026768	414
82	 artificial coloring 	1954-08-05 07:27:35.9103897	0	1	1989-01-21 14:34:45.9692104	357
83	 Muy Caliente 	1959-11-16 15:51:47.1301457	1	1	1996-07-03 21:52:15.4187974	649
84	 Super Hot	1993-01-28 20:46:19.7322652	1	0	1956-04-23 07:53:07.9590509	95
85	has preservative 	2005-09-10 09:08:55.8838922	1	1	2010-01-24 15:36:48.2622790	635
86	 Muy Caliente 	1983-07-08 13:39:05.6778114	1	1	1967-09-06 18:38:46.7882555	14
87	 Muy Caliente 	1961-12-04 00:29:52.6782273	1	1	2001-06-01 16:16:34.3787280	926
88	 alcohol mixed 	1983-09-26 10:03:19.4886820	1	0	1957-07-11 02:16:30.3884493	162
89	 Heavy 	1987-12-30 08:24:11.8929772	1	1	1953-12-21 08:12:08.1164962	932
90	 Super Hot	1983-06-08 13:39:22.7321546	1	1	1997-06-09 03:19:46.7001068	533
91	 Heavy 	1992-02-13 13:35:23.2344394	1	1	1976-05-15 11:54:41.5576515	331
92	 alcohol mixed 	2006-03-17 15:09:01.1893250	1	1	1969-09-12 11:17:42.3134817	33
93	 alcohol mixed 	2006-11-04 03:36:56.8469638	1	0	1987-04-20 12:33:11.7614566	26
94	 alcohol mixed 	1996-04-25 11:50:23.7919602	1	1	2002-01-25 15:34:14.5807548	169
95	 Muy Caliente 	1959-11-24 15:03:13.4840693	1	1	2002-09-11 20:52:00.6291490	296
96	 Muy Caliente 	1983-12-22 07:33:56.4378370	1	1	1972-03-04 02:05:06.4645385	666
97	 Heavy 	2004-07-26 17:23:41.0559034	0	0	2014-09-26 23:20:40.2366568	790
98	 Muy Caliente 	2003-02-22 00:18:01.6758876	1	1	1987-09-10 14:56:22.7052470	959
99	 Dinner portion 	2014-06-03 18:48:43.4595316	1	1	1971-09-27 16:47:00.1827465	761
100	 Dinner portion 	2006-06-18 08:35:52.8647538	0	0	2016-12-07 06:31:57.7394784	549
101	 Olived Oiled 	1980-01-22 09:19:14.2695545	0	1	2012-10-30 06:59:21.5774748	172
102	 artificial coloring 	2012-08-28 12:36:14.1465468	1	1	2014-10-30 07:16:56.2977252	519
103	 alcohol mixed 	1965-08-10 12:10:30.7410772	1	0	2000-03-02 13:56:17.6895550	166
104	 Muy Caliente 	2015-12-11 22:25:58.5240992	1	0	1972-02-14 19:24:23.2589100	106
105	has preservative 	1978-01-25 22:11:58.5177118	1	1	1978-08-02 23:01:44.8863067	964
106	 alcohol mixed 	1997-02-16 12:55:31.8272524	1	1	2005-09-03 04:44:47.8721184	501
107	has preservative 	1957-07-07 07:31:06.7867756	1	1	1957-11-22 21:00:27.8480837	479
108	 Super Hot	1999-04-18 10:02:05.6895248	0	1	1986-07-04 01:07:25.2302028	262
109	 artificial coloring 	2002-04-01 06:59:35.4310308	1	0	1986-03-26 19:17:51.4732256	808
110	 artificial coloring 	1986-11-16 11:53:24.7760524	0	1	1989-03-06 04:35:07.5667964	677
111	 Olived Oiled 	1985-01-04 09:07:58.5087054	1	1	1972-10-26 04:13:06.5011390	603
112	 Olived Oiled 	2017-02-26 07:28:36.4071044	1	1	1965-09-23 07:57:31.5475227	850
113	 Heavy 	1966-07-09 18:36:15.5621998	1	1	2004-03-29 14:28:05.5484892	594
114	 Dinner portion 	2001-08-03 17:06:11.1197350	1	1	1981-10-16 04:29:23.2390724	634
115	 Heavy 	1969-07-11 14:11:17.5607958	1	1	2002-12-09 00:32:56.8319258	916
116	 artificial coloring 	1979-03-19 02:46:51.9805815	1	1	2012-03-28 12:02:56.2551492	178
117	has preservative 	1980-04-09 23:53:32.4216153	1	1	1975-01-25 16:44:49.3946407	587
118	 Heavy 	2004-02-04 13:53:45.2883294	0	0	1955-03-01 15:15:36.3576906	823
119	has preservative 	1998-05-18 07:36:27.1860036	1	0	1991-02-04 12:42:27.7118512	792
120	has preservative 	1960-09-23 22:13:10.4358491	1	1	1976-06-25 10:45:58.0973761	61
121	 artificial coloring 	1960-06-17 18:12:59.4374443	1	0	2012-11-27 23:57:54.8457400	893
122	 Heavy 	2009-01-23 16:06:39.1964402	1	1	1979-04-26 20:29:59.5475189	922
123	 Dinner portion 	1995-01-07 19:55:28.0330246	1	1	1963-06-18 17:50:21.9113932	391
124	has preservative 	1963-04-15 02:02:41.8329753	1	1	1982-07-06 21:21:59.0015720	107
125	 alcohol mixed 	1957-09-18 13:22:09.7928363	0	1	1971-07-07 19:53:17.6414165	534
126	 Heavy 	1953-07-14 14:49:04.3797628	1	1	2015-03-14 18:19:56.7745492	700
127	 Heavy 	2009-05-18 21:10:36.9983908	1	1	1978-03-13 10:16:44.2619073	980
128	 Olived Oiled 	1954-04-09 00:07:27.4184142	1	1	1970-12-08 03:11:14.0360999	211
129	 Olived Oiled 	2008-01-03 21:32:39.4828296	1	1	1989-09-02 07:02:08.1584262	979
130	 Olived Oiled 	1991-01-12 05:01:19.0633226	1	0	1993-09-02 17:42:55.7665588	415
131	 Dinner portion 	1989-01-28 13:37:47.5957968	1	1	2015-07-02 07:38:18.8390288	705
132	 Heavy 	1957-10-06 01:02:12.5642260	1	0	1974-06-25 05:51:29.2533937	953
133	 Super Hot	1974-06-09 10:51:36.3567365	1	1	1963-03-22 06:56:21.9211167	572
134	 Olived Oiled 	1996-04-11 17:08:42.1766910	1	1	2016-01-01 00:45:32.8069044	251
